importance,name,category
0.0008752701681088557, The Mechagonian Threat, Battle for Azeroth
0.0008737188450481145, Cutting Edge: Lady Jaina Proudmoore, Raids
0.0008730232138326298, Zandalari Cook, Cooking
0.0008727773474328392, Mythic: Imonar the Soulhunter, Legion Raid
0.0008727329417713272, Seasoned: Poen Gillbrack, Battle for Azeroth
0.0008714923554378026, Mythic: The Queen's Court, Battle Raid
0.0008700398913548797, Mythic: The Hivemind, Battle Raid
0.0008678060219818352, Got My Mind On My Money, Character
0.0008673403495660921, Mythic: The Coven of Shivarra, Legion Raid
0.000865639964641494, Mythic: The Restless Cabal, Battle Raid
0.0008647751929521704, Stormsong and Dance, Battle for Azeroth
0.0008641503911276742, Heroic: The MOTHERLODE!!, Battle Dungeon
0.0008592471099592479, Got My Mind On My Money, Character
0.0008589731773257235, Pushing the Payload, Battle for Azeroth
0.0008582219050552718, Spirits Be With You, Battle for Azeroth
0.0008514202044496952, Mythic: Hounds of Sargeras, Legion Raid
0.0008512673441607156, Essence Overload, Heart of Azeroth
0.0008508173240272251, The Dark Heart of Nazmir, Battle for Azeroth
0.000847423199018834, The Long Con, Battle for Azeroth
0.0008445157706981788, Honorable Medallion, Player vs. Player
0.0008424735960888058, That Takes Class, Player vs. Player
0.0008417531360396064, Frontline Veteran, World
0.00084086735608435, Deadliest Cache, Battle for Azeroth
0.0008387406242514644, The Mechagonian Threat, Battle for Azeroth
0.0008338093104010659, Seasoned: Farseer Ori, Battle for Azeroth
0.0008268695377240061, Tough Love, Love is in the Air
0.0008264277077346975, Baiting the Enemy, Fishing
0.000822827202842427, Verdant Wilds, Island Expeditions
0.0008219979175123139, Challenger, Arena
0.0008212723565442752, Seasoned: Bladesman Inowari, Battle for Azeroth
0.0008201057741108592, Know Thy Enemy, Player vs. Player
0.0008165027772653882, Justly Rewarded, Quests
0.000815673760444483, Keep DPS-ing and Nobody Explodes, Battle Dungeon
0.0008149187957619882, Training the Troops, Legion Class Hall
0.0008144397223714246, Tour of War, War Effort
0.0008087931802721331, The Alliance Slayer, Player vs. Player
0.0008087828741387996, Destruction Derby, Wintergrasp
0.000807415226619209, Level 110, Character
0.0008062074811197062, Mythic: G'huun, Battle Raid
0.0008060792405234103, The Bread Winner, Quests
0.0008052426064629161, Frontline Veteran, World
0.0008044213178840848, Heroic: Waycrest Manor, Battle Dungeon
0.0008039851602923926, This is the War Room!, Legion Raid
0.0008038160539058012, Raise an Army, Legion Class Hall
0.0008015610543782455, Mythic: Whispering Reef, Island Expeditions
0.0007986099342648955, Heroic: Tol Dagor, Battle Dungeon
0.0007985045743819726, Heroic: Verdant Wilds, Island Expeditions
0.0007962247170717007, Flame Warden of Kul Tiras, Midsummer
0.0007957706403253504, Mythic: Molten Cay, Island Expeditions
0.0007957439326380775, Master Calligrapher, Battle for Azeroth
0.0007950562803150071, Everything Counts, Alterac Valley
0.0007947166146440107, Heroic: Whispering Reef, Island Expeditions
0.0007935741430012792, Molten Cay, Island Expeditions
0.0007931845761070018, A Sound Plan, Battle for Azeroth
0.000792885497107908, Mythic: Dread Chain, Island Expeditions
0.0007890633814245439, Mythic: Shrine of the Storm, Battle Dungeon
0.0007885273939621042, Mythic: Mistress Sassz'ine, Legion Raid
0.0007879139711735796, Dread Gladiator's Proto-Drake, Mounts
0.0007875420032362582, Mythic: Verdant Wilds, Island Expeditions
0.0007848419313967707, Tour of War, War Effort
0.0007830004277333651, Silverwing Sentinel, Warsong Gulch
0.0007819206821009111, Frontline Slayer, World
0.0007816438565332867, Cutting Edge: Queen Azshara, Raids
0.0007813316942433507, Supplied and Ready, World
0.0007792728057001159," Go Ahead, Make My Daisy", Battle Dungeon
0.000776479549222379, Mythic: Portal Keeper Hasabel, Legion Raid
0.0007747271893597366, An Honorable Kill, Player vs. Player
0.0007705436914883002, Educated Guesser, Brawler's Guild
0.0007698543604277048, Time Flies When You're Having Fun, Reputation
0.0007693440478763831, Whispering Reef, Island Expeditions
0.0007684511095572056, Keystone Challenger, Dungeons & Raids
0.0007682955506107688, Reef Madness, Island Expeditions
0.0007678834170028537, Armed for Action, Battle for Azeroth
0.0007652979797946915, Ice the Frost Lord, Midsummer
0.0007608867559188724, Emperor Shaohao, Pandaria
0.0007589876526661395, Heroic: Shrine of the Storm, Battle Dungeon
0.0007587299948927457, Mythic: Mythrax the Unraveler, Battle Raid
0.0007564936237877816, Welcome to Draenor, Draenor
0.0007554045188412691, High Warlord, Rated Battleground
0.000752726525761835, About To Break, Battle for Azeroth
0.0007505484344160718, 1500 Quests Completed, Quests
0.000750129979521932, Down Goes Van Rook, Ashran
0.000748095666547829, Heroic: Skittering Hollow, Island Expeditions
0.0007464915989602287, 1000 Quests Completed, Quests
0.0007460364578326135, Veteran: Neri Sharpfin, Battle for Azeroth
0.0007431564427996458, Warsong Outrider, Warsong Gulch
0.000741063176225223, Mythic: Tol Dagor, Battle Dungeon
0.0007378690329727174, War Supplied, World
0.0007369692192826908, Mythic: Star Augur Etraeus, Legion Raid
0.0007353193117208948, Skittering Hollow, Island Expeditions
0.0007346790421953301, Veteran: Poen Gillbrack, Battle for Azeroth
0.000734154147141866, Mythic: Gul'dan, Legion Raid
0.0007339157516912015, Havenswood Hero, Island Expeditions
0.0007332497780056018, Mythic: Un'gol Ruins, Island Expeditions
0.0007329192314705807, Mythic: Antoran High Command, Legion Raid
