important_features,category
10276, Draenor Garrison
12602, Battle Dungeon
7509, Pandaria Scenarios
6674, Pandaria Raid
11675, Legion Raid
12942, Battle for Azeroth
12462, Battle Dungeon
7329, Pandaria
968, Hallow's End
2767, Argent Tournament
492, Lich King Dungeon
2769, Argent Tournament
10771, Legion Raid
5416, Tol Barad
5824, Rated Battleground
13542, Battle for Azeroth
9411, Archaeology
6922, Pandaria Raid
3015, Raids
1406, Feats of Strength
5368, Cataclysm Dungeon
9410, Archaeology
7439, Pandaria
1022, Midsummer
11386, Legion Raid
8528, Pandaria Raid
73, Arathi Basin
12855, Battle Dungeon
5471, Cooking
10587, Professions
5488, Tol Barad
9025, Draenor Dungeon
9613, Draenor
10030, Draenor Raid
7986, Pandaria Scenarios
2416, Noblegarden
2766, Argent Tournament
13513, Mounts
12878, War Effort
892, Character
11928, Legion Raid
5366, Cataclysm Dungeon
5872, Cataclysm
7988, Pandaria Scenarios
7102, Silvershard Mines
12601, Battle Dungeon
2038, Lich King Dungeon
9224, Ashran
2044, Lich King Dungeon
1698, Love is in the Air
12723, Battle Dungeon
9024, Draenor Dungeon
9413, Archaeology
12995, Battle for Azeroth
2919, Raids
1041, Hallow's End
13041, Battle for Azeroth
2184, Lich King Raid
2056, Lich King Dungeon
1040, Hallow's End
10542, Legion Dungeon
12853, Battle for Azeroth
1816, Lich King Dungeon
9415, Archaeology
202, Warsong Gulch
6518, Pandaria Raid
12508, Battle Dungeon
4525, Lich King Dungeon
3188, Raids
7265, Pandaria Scenarios
2176, Lich King Raid
9432, Draenor
2045, Lich King Dungeon
1225, Fishing
7062, Silvershard Mines
13716, Battle Raid
9128, Draenor Garrison
2939, Raids
611, Player vs. Player
8877, Dungeons
8727, Pandaria
7295, Pandaria
13703, Honor
1868, Lich King Dungeon
10057, Draenor Raid
9414, Archaeology
7530, Pandaria Scenarios
10605, Archaeology
493, Lich King Dungeon
1419, Feats of Strength
7612, Archaeology
617, Player vs. Player
10679, Legion Dungeon
10680, Legion Dungeon
10555, Legion Raid
9018, Draenor Dungeon
2762, Argent Tournament
216, Eye of the Storm
6133, Cataclysm Raid
1023, Midsummer
498, Lich King Dungeon
155, Arathi Basin
3014, Raids
222, Alterac Valley
10755, Legion Raid
9460, Fishing
8538, Pandaria Raid
11930, Legion Raid
12482, Battle for Azeroth
6089, Pandaria Dungeon
220, Alterac Valley
2761, Argent Tournament
3179, Raids
8947, Draenor Raid
612, Player vs. Player
388, Player vs. Player
10165, Draenor Garrison
9658, Draenor
9550, Events
5753, Cataclysm
2046, Lich King Dungeon
5300, Cataclysm Raid
7363, Archaeology
2764, Argent Tournament
7288, Pandaria
6936, Pandaria Raid
6823, Pandaria Raid
3577, Pilgrim's Bounty
7367, Archaeology
13506, Battle Raid
8118, Pandaria
679, The Burning Crusade
12944, Battle for Azeroth
10710, Legion Dungeon
6128, Cataclysm Raid
156, Arathi Basin
3456, World Events
1026, Midsummer
1028, Midsummer
12588, Battle for Azeroth
2910, Raids
2913, Raids
3578, Pilgrim's Bounty
3844, Currencies
14008, Battle Raid
2765, Argent Tournament
13305, War Effort
6025, Darkmoon Faire
5754, Cataclysm
12898, War Effort
680, The Burning Crusade
7611, Fishing
11573, Brawler's Guild
3597, Pilgrim's Bounty
12830, Battle Raid
12770, Archaeology
7272, Pandaria Scenarios
9541, Draenor
3158, Raids
5743, Cataclysm Dungeon
8978, Draenor Raid
10086, Draenor Raid
1799, Cooking
5329, Rated Battleground
271, Midsummer
8876, Dungeons
13738, War Effort
13425, Battle Raid
1032, Midsummer
1414, Feats of Strength
13472, Battle for Azeroth
10707, Legion Dungeon
8527, Pandaria Raid
1997, Lich King Raid
4937, Kalimdor
8721, Pandaria
3855, Isle of Conquest
12852, Battle for Azeroth
14037, Battle Raid
3141, Raids
1358, Northrend
5292, Cataclysm Dungeon
7361, Archaeology
1025, Midsummer
11696, Legion Raid
12078, Legion
3058, Raids
12918, Heart of Azeroth
9455, Fishing
12941, Battle for Azeroth
670, The Burning Crusade
5474, Cooking
13573, Battle for Azeroth
578, Lich King Raid
8212, Pandaria
9499, Draenor Garrison
910, Lunar Festival
13724, Battle Raid
6929, Pandaria Dungeon
7365, Archaeology
7990, Pandaria Scenarios
613, Player vs. Player
9026, Draenor Dungeon
967, Hallow's End
9979, Draenor Raid
1031, Midsummer
1411, Feats of Strength
12549, Battle Dungeon
9457, Fishing
8999, Dungeons
9619, Dungeons & Raids
5305, Cataclysm Raid
10554, Legion Dungeon
7369, Archaeology
3008, Raids
1029, Midsummer
1697, Love is in the Air
4297, Lich King Dungeon
11676, Legion Raid
1427, Feats of Strength
3056, Raids
7526, Pandaria Scenarios
2043, Lich King Dungeon
1757, Player vs. Player
2836, Argent Tournament
9501, Cooking
12899, War Effort
10754, Legion Raid
646, Classic
1194, Outland
8317, Pandaria Scenarios
7614, Fishing
7360, Archaeology
2188, Dungeons
3006, Raids
7997, Pandaria
7527, Pandaria Scenarios
2930, Raids
